  871200    513.23858    3359.6504    2.6925874    35601.711 
  875600    496.98323    3367.6767    1453.7473    35528.197 
  880000    509.03534    3380.0947    1976.0657    35551.562 
  884400    509.31032    3380.7596    952.42743    35587.617 
  888800    491.95578    3406.2178   -3075.3378     35666.38 
  893200    515.75327    3427.9373    2171.8136    35543.479 
  897600    498.65328    3430.1743    2318.6559    35495.318 
  902000    495.54142    3463.2366    1534.4674    35568.723 
  906400    498.03423    3472.7664   -640.83754    35645.825 
  910800    481.73467     3476.178   -2724.0864    35628.972 
  915200    497.79697    3495.9173    1480.9484    35578.356 
  919600    506.00276    3525.1781    1773.4413    35548.492 
  924000    494.23902    3545.5954   -700.75242    35563.708 
  928400    493.41221    3569.9476   -691.65413    35623.895 
  932800    496.90891    3590.1382   -918.08408     35628.08 
  937200    492.13846     3606.847    1223.8798    35557.314 
  941600    495.78999    3625.9471    2923.2553    35539.227 
  946000    493.09252    3647.3437   -339.18022    35637.102 
  950400    492.77506    3682.0388   -3509.4548    35627.423 
  954800    503.44464     3690.193    906.27519    35555.111 
  959200    508.55841     3727.852   -59.184291    35578.889 
  963600    499.41123    3754.4773    1625.6891    35579.239 
  968000    495.03132    3787.0652   -2466.7904    35617.359 
  972400    517.89984    3802.0605    1783.5717    35576.284 
  976800    505.86253    3828.5597   -1703.4478    35621.582 
  981200     500.7711    3852.9555   -141.79321    35567.281 
  985600    501.70691    3875.5944    485.13349    35601.627 
  990000    505.86154    3900.6692    -142.1742    35625.946 
  994400    501.40105    3902.9251   -808.78202    35612.936 
  998800    501.80867    3930.3927    1515.5574     35570.36 
 1003200    504.67587    3951.7087    1629.2165    35589.683 
 1007600    497.60874    3967.9469   -1778.0684    35619.245 
 1012000    505.47745    3989.6002   -233.06771     35588.96 
 1016400    505.40377    4005.2978    1911.1306    35592.685 
 1020800    497.46931    4017.6437   -985.29625    35633.428 
 1025200    511.88875    4038.0933   -1916.7589    35663.216 
